/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_speaker.so.0.0.0, 48, 73
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_svga_cirrus.so.0.0.0, 69, 179
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_textconfig.so.0.0.0, 30, 47
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_unmapped.so.0.0.0, 32, 45
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_usb_ehci.so.0.0.0, 63, 169
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_usb_floppy.so.0.0.0, 74, 108
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_usb_hid.so.0.0.0, 50, 81
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_usb_hub.so.0.0.0, 49, 80
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_usb_msd.so.0.0.0, 89, 151
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_usb_ohci.so.0.0.0, 60, 100
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_usb_printer.so.0.0.0, 42, 60
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_usb_uhci.so.0.0.0, 58, 108
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_usb_xhci.so.0.0.0, 63, 122
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_vbox_img.so.0.0.0, 37, 64
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_vga.so.0.0.0, 69, 149
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_vmware3_img.so.0.0.0, 44, 66
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_vmware4_img.so.0.0.0, 39, 66
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_voodoo.so.0.0.0, 94, 314
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_vpc_img.so.0.0.0, 36, 53
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_vvfat_img.so.0.0.0, 75, 113
/usr/lib/x86_64-linux-gnu/bochs/plugins/libbx_wx_gui.so.0.0.0, 679, 971
/usr/lib/x86_64-linux-gnu/caca/libgl_plugin.so.0.0.0, 74, 74
/usr/lib/x86_64-linux-gnu/caca/libx11_plugin.so.0.0.0, 85, 85
/usr/lib/x86_64-linux-gnu/ceph/librbd/libceph_librbd_parent_cache.so.1.0.0, 394, 2649
/usr/lib/x86_64-linux-gnu/ceph/librbd/libceph_librbd_pwl_cache.so.1.0.0, 699, 6082
/usr/lib/x86_64-linux-gnu/colord-plugins/libcolord_sensor_camera.so, 45, 48
/usr/lib/x86_64-linux-gnu/colord-plugins/libcolord_sensor_sane.so, 16, 20
/usr/lib/x86_64-linux-gnu/colord-plugins/libcolord_sensor_scanner.so, 40, 44
/usr/lib/x86_64-linux-gnu/colord-sensors/libcolord_sensor_colorhug.so, 66, 74
/usr/lib/x86_64-linux-gnu/colord-sensors/libcolord_sensor_dtp94.so, 53, 68
/usr/lib/x86_64-linux-gnu/colord-sensors/libcolord_sensor_dummy.so, 45, 49
/usr/lib/x86_64-linux-gnu/colord-sensors/libcolord_sensor_huey.so, 78, 111
/usr/lib/x86_64-linux-gnu/deja-dup/libdeja.so, 444, 795
/usr/lib/x86_64-linux-gnu/device-mapper/libdevmapper-event-lvm2mirror.so, 21, 25
/usr/lib/x86_64-linux-gnu/device-mapper/libdevmapper-event-lvm2raid.so, 23, 27
/usr/lib/x86_64-linux-gnu/device-mapper/libdevmapper-event-lvm2snapshot.so, 40, 44
/usr/lib/x86_64-linux-gnu/device-mapper/libdevmapper-event-lvm2thin.so, 47, 51
/usr/lib/x86_64-linux-gnu/device-mapper/libdevmapper-event-lvm2vdo.so, 53, 57
/usr/lib/x86_64-linux-gnu/dri/crocus_dri.so, 781, 796
/usr/lib/x86_64-linux-gnu/dri/d3d12_dri.so, 781, 796
/usr/lib/x86_64-linux-gnu/dri/d3d12_drv_video.so, 785, 788
/usr/lib/x86_64-linux-gnu/dri/i830_dri.so, 337, 343
/usr/lib/x86_64-linux-gnu/dri/i915_dri.so, 337, 343
/usr/lib/x86_64-linux-gnu/dri/i965_dri.so, 337, 343
/usr/lib/x86_64-linux-gnu/dri/i965_drv_video.so, 76, 76
/usr/lib/x86_64-linux-gnu/dri/iHD_drv_video.so, 238, 284
